Name,Category Slug,Description,Price (Rupees),Discount Price (Rupees),Stock,Storage Instructions
Shelled Akhrot,walnuts,"Premium shelled walnuts with fresh, crisp half-kernels. Rich in Omega-3 fatty acids, antioxidants, and essential nutrients for brain health.",1100.0,980.0,100,"Store in a cool, dry place in an airtight container. Refrigeration recommended for extended freshness."
Amrican Giri Badam,almonds,"High-grade California / American almond kernels. Naturally sweet, crunchy, and packed with Vitamin E, protein, and dietary fiber.",1200.0,1040.0,150,"Store in a cool, dry place away from direct sunlight."
1 pcs Kaaju,cashews,"Premium W-240 jumbo whole cashew nuts. Rich, creamy texture and whole shape perfect for premium snacking, sweets, and festive gifting.",1150.0,1020.0,120,Keep in an airtight container in a dry place.
Pista Salted,pistachios,"Lightly salted roasted pistachios in shell. Crunchy, savory snack packed with protein, healthy fats, and antioxidants.",1490.0,1330.0,100,"Store in a cool, dark, airtight container to maintain crispiness."
KISHMIS,raisins,"Naturally sun-dried sweet Indian green raisins. Soft, juicy, and rich in natural iron, potassium, and quick energy.",700.0,620.0,150,"Keep in a cool, dry place or refrigerate to preserve moisture."
Makahna,makhana,"Premium quality giant fox nuts (Phool Makhana). Low in calories, rich in calcium and protein—ideal for healthy guilt-free snacking and fasting.",1400.0,1260.0,100,Keep in an airtight container to retain crispness.
Anjeer,anjeer,"Soft and chewy premium dried figs. Packed with dietary fiber, iron, calcium, and minerals for digestive health and immunity.",1400.0,1260.0,80,"Store in a cool, dry place in a closed box."
Mix Healthy Seeds,seeds,"Power-packed superfood blend of pumpkin, chia, flax, sunflower, and watermelon seeds. Ideal for smoothie bowls, yogurt, and daily snacking.",650.0,550.0,100,"Keep in a cool, dry container."
Elaichi,spices,"Premium aromatic green cardamom pods (Choti Elaichi). Intense natural fragrance and flavor for sweets, tea, biryanis, and traditional recipes.",3500.0,3120.0,50,"Store in a cool, dry, dark airtight jar to lock in essential oils."
Kaagzi Badam,almonds,Thin-shelled raw almonds (Kaagzi Badam) that crack open easily by hand. Sweet internal kernels packed with traditional wholesome nourishment.,700.0,610.0,80,"Keep in a dry, well-ventilated container."
Munakka,raisins,"Large sweet brown seeded raisins (Munakka). Traditionally prized in Ayurveda for soothing digestion, improving hemoglobin, and boosting vitality.",890.0,780.0,90,"Store in a cool, dry place."
Gurbandi Giri Badam,almonds,"Authentic Afghan Gurbandi almond kernels. Rich in natural almond oils, distinct nut flavor, and unmatched nutritional richness.",1500.0,1320.0,70,Store in an airtight container away from heat.
Chuhara,dates,"Dry yellow/red dates (Dry Chuhara). High in dietary fiber, iron, and natural sugars—great for energy milk preparations and traditional sweets.",500.0,430.0,100,"Store in a cool, dry place."
Pind Khajoor,dates,"Soft, moist, and naturally sweet Pind dates. Great source of quick energy, natural sweetness, and daily dietary minerals.",450.0,390.0,120,Keep in a cool place or refrigerate after opening.
Mamra Giri Badam,almonds,"Exquisite Iranian Mamra Badam Giri. Ultra-premium almond kernels known for high oil content, concaved shape, and supreme health benefits.",4200.0,3780.0,40,Refrigerate in an airtight container for maximum freshness.
Daalchini,spices,"Whole aromatic Ceylon cinnamon sticks (Daalchini). Fragrant, sweet spice stick ideal for curries, desserts, teas, and immunity drinks.",680.0,590.0,100,"Store in a cool, dry glass container."
Akhrot Giri,walnuts,"Extra-light handpicked walnut kernels (Akhrot Giri halves). Fresh, buttery, rich in Omega-3 fatty acids, and beneficial for brain & heart health.",1950.0,1740.0,60,"Store in a cool, dry, airtight container. Refrigeration recommended."
Gola,gola,"Whole dried coconut cup (Sukha Gola / Khopra). Natural coconut fats and flavor used widely in traditional cooking, sweets, and worship.",500.0,440.0,100,"Keep in a dry, ventilated place."
Gulla Chuhara,dates,"Round dry dates (Gulla Chuhara). Crunchy texture with rich natural sweetness, useful for festive prasad and sweet dishes.",480.0,420.0,80,"Store in a cool, dry container."
Jumbo Kaaju (150 No.),cashews,"King-size W-150 grade Jumbo cashew nuts. Exceptionally large, creamy, and pristine—ideal for luxury gift packs and gourmet recipes.",1300.0,1150.0,70,"Keep in an airtight jar in a cool, dry place."
Gulkand,gulkand,Traditional sweet preserve of damask rose petals and natural sugar. Cooling herbal mouth-freshener that aids digestion and acidity relief.,620.0,550.0,90,Refrigerate after opening.
2 pcs Kaaju,cashews,"Split cashew halves (2-piece cashew). Ideal for everyday home cooking, gravies, garnishing, and baking.",25.0,20.0,500,Store in a dry airtight container.
Mirch,spices,"Premium ground red chili powder (Lal Mirch). Vibrant color, spicy kick, and authentic pungent flavor for Indian curries.",25.0,20.0,300,Store in a sealed container in a dark cabinet.
Garam Masala,spices,"Aromatic Indian spice mix blended from roasted whole spices. Elevates curries, dals, and gravies with rich warmth and aroma.",25.0,20.0,300,Keep in an airtight spice container.
Kali mirch,spices,"Whole black peppercorns (Kali Mirch). Pungent, spicy peppercorns rich in piperine for health, digestion, and daily seasoning.",25.0,20.0,300,Keep dry in an airtight container.
Mirch sabut,spices,Whole dried red chillies (Sabut Lal Mirch). Rich red pigment and strong spice level for tempering (tadka) and spice blends.,25.0,20.0,300,Keep in a dry container.
Sabut dhaniya,spices,"Whole coriander seeds (Sabut Dhaniya). Earthy, citrusy aroma essential for Indian spice pastes, powders, and gravies.",25.0,20.0,300,"Store in a cool, dry place."
